Date,Sales,Predicted_Sales,Promotion,Holiday
2039-05-08,12760.23,13783.784150000005,0,0
2039-05-15,20625.43,18138.598449999987,1,0
2039-05-22,17345.81,15426.560299999996,1,0
2039-05-29,17050.92,16532.343449999997,1,0
2039-06-05,18805.21,16773.62559999998,1,0
2039-06-12,10233.75,10144.5229,0,0
2039-06-19,9814.52,9423.208799999999,0,0
2039-06-26,18891.26,17597.43335,0,1
2039-07-03,10514.6,10057.509800000005,0,0
2039-07-10,10653.78,11180.499300000001,0,0
2039-07-17,14598.45,15570.204249999993,1,0
2039-07-24,18418.24,18140.570000000003,1,0
2039-07-31,12072.11,10562.782599999995,0,0
2039-08-07,18974.76,17926.76649999999,0,1
2039-08-14,18873.24,18976.69589999998,0,1
2039-08-21,11682.44,12448.591400000012,0,0
2039-08-28,19607.81,22094.45264999998,1,1
2039-09-04,17089.74,19319.331700000017,0,1
2039-09-11,9826.79,10462.27660000001,0,0
2039-09-18,9936.49,10729.391350000002,0,0
2039-09-25,12382.27,12048.407549999994,0,0
2039-10-02,15710.81,13957.609349999982,0,0
2039-10-09,11254.24,11138.114400000004,0,0
2039-10-16,11063.92,11013.4562,0,0
2039-10-23,14718.93,15299.00849999999,0,1
2039-10-30,12187.26,11850.328349999994,0,0
2039-11-06,16654.05,18584.307099999998,1,0
2039-11-13,11868.24,11704.336000000003,0,0
2039-11-20,16738.97,16096.327550000005,0,1
2039-11-27,17025.62,15671.984750000025,0,1
2039-12-04,17885.05,16308.750350000015,1,0
2039-12-11,11378.5,10041.948600000005,0,0
2039-12-18,15283.72,16655.41145000001,1,0
2039-12-25,11032.24,9839.620249999994,0,0
2040-01-01,10430.78,10605.4216,0,0
2040-01-08,9450.99,10903.742400000006,0,0
2040-01-15,9910.66,11416.123249999999,0,0
2040-01-22,17436.25,16930.95895000002,1,0
2040-01-29,11032.91,11777.54240000001,0,0
2040-02-05,8147.64,9782.069550000006,0,0
2040-02-12,12179.65,10953.86945000001,0,0
2040-02-19,9362.47,10748.185000000005,0,0
2040-02-26,11487.79,11182.620400000003,0,0
2040-03-04,11652.2,11417.286300000003,0,0
2040-03-11,17582.69,15815.717700000007,1,0
2040-03-18,13530.02,11873.626500000004,0,0
2040-03-25,9370.39,10825.946600000008,0,0
2040-04-01,17393.03,16559.756699999994,1,0
2040-04-08,11798.4,12149.089250000008,0,0
2040-04-15,18226.5,17479.221050000007,1,0
2040-04-22,17140.8,17691.5002,0,1
2040-04-29,17058.94,17877.223349999993,1,0
2040-05-06,11562.92,12015.072000000004,0,0
2040-05-13,20372.26,22130.472649999992,1,1
2040-05-20,19129.43,17333.609599999996,1,0
2040-05-27,11237.05,10833.546850000008,0,0
2040-06-03,15539.32,14853.009600000009,1,0
2040-06-10,10647.52,10605.802800000005,0,0
2040-06-17,10245.8,10348.14535,0,0
2040-06-24,11194.02,12673.065750000009,0,0
2040-07-01,17936.7,17466.698249999987,0,1
2040-07-08,15758.25,17713.02695,0,1
2040-07-15,12718.4,10071.956650000002,0,0
2040-07-22,10758.83,12271.723100000005,0,0
2040-07-29,17538.39,17083.350950000004,1,0
2040-08-05,25892.23,23730.563200000026,1,1
2040-08-12,16764.91,16287.596200000004,0,1
2040-08-19,11524.81,11623.619200000001,0,0
2040-08-26,8397.82,9843.571650000004,0,0
2040-09-02,9705.88,10694.8918,0,0
2040-09-09,12068.06,11567.843949999995,0,0
2040-09-16,13279.38,10976.466199999997,0,0
2040-09-23,9487.38,9796.654999999993,0,0
2040-09-30,17587.13,18595.979,1,0
2040-10-07,8208.2,10337.396250000007,0,0
2040-10-14,10317.08,11152.16785,0,0
2040-10-21,16305.61,16262.662100000007,0,1
2040-10-28,15656.95,13827.226649999995,0,0
2040-11-04,13217.76,12498.561099999999,0,0
2040-11-11,12774.1,12503.87335,0,0
2040-11-18,10907.86,11614.001500000002,0,0
2040-11-25,10788.2,12169.618800000002,0,0
2040-12-02,17526.78,16292.77495,1,0
2040-12-09,17544.89,17207.62410000001,1,0
2040-12-16,8380.88,10000.610450000002,0,0
2040-12-23,8539.75,9076.449850000014,0,0
2040-12-30,9144.14,9613.678200000006,0,0
2041-01-06,9322.48,9392.589750000008,0,0
2041-01-13,12415.49,11726.235149999999,0,0
2041-01-20,11769.07,11894.720250000004,0,0
2041-01-27,12167.76,11110.303600000001,0,0
2041-02-03,13064.17,12123.65145,0,0
2041-02-10,10250.25,10689.795000000006,0,0
2041-02-17,19299.04,16424.834600000002,1,0
2041-02-24,16402.43,16514.302999999993,1,0
2041-03-03,16205.04,16033.918450000003,1,0
2041-03-10,10744.56,11155.579950000001,0,0
2041-03-17,18520.1,18682.695,1,0
2041-03-24,15363.51,15097.056299999975,0,1
2041-03-31,17000.6,16129.7913,1,0
2041-04-07,10506.26,11201.346150000003,0,0
2041-04-14,13954.5,15223.49835,1,0
2041-04-21,15891.81,12763.151650000005,0,0
2041-04-28,15315.22,16038.722850000013,1,0
2041-05-05,17747.05,17287.047649999997,1,0
2041-05-12,14866.83,16649.9132,0,1
2041-05-19,10216.46,10690.406500000001,0,0
2041-05-26,18951.36,19366.716699999997,1,0
2041-06-02,12507.38,12137.154450000004,0,0
2041-06-09,13291.06,16627.65850000001,1,0
2041-06-16,11553.37,11340.677299999996,0,0
2041-06-23,10160.31,12037.842200000003,0,0
2041-06-30,11483.21,11015.492100000005,0,0
2041-07-07,10464.4,11740.969500000014,0,0
2041-07-14,21627.42,23272.723,1,1
2041-07-21,18413.65,19592.257400000013,0,1
2041-07-28,8261.2,9517.933150000004,0,0
2041-08-04,10603.36,10303.199950000006,0,0
2041-08-11,14767.95,15659.052750000006,0,1
2041-08-18,20174.2,21895.032850000007,1,1
2041-08-25,17013.55,15375.400600000008,1,0
2041-09-01,10184.74,12417.303649999994,0,0
2041-09-08,15883.58,16462.365150000005,1,0
2041-09-15,17763.47,16859.03930000002,1,0
2041-09-22,15684.07,15995.64360000001,0,1
2041-09-29,16255.8,17231.855300000007,1,0
2041-10-06,17083.49,17964.234400000005,0,1
2041-10-13,12599.52,11145.522799999999,0,0
2041-10-20,23568.82,24446.61140000002,1,1
2041-10-27,12789.82,13007.618450000002,0,0
2041-11-03,15401.01,17463.447250000012,1,0
2041-11-10,16674.16,17576.464750000003,1,0
2041-11-17,11925.05,12936.306499999984,0,0
2041-11-24,15810.45,17305.261650000004,1,0
2041-12-01,15807.61,15879.819700000015,0,1
2041-12-08,8098.13,9767.14375,0,0
2041-12-15,17472.49,18816.372449999988,0,1
2041-12-22,23318.83,21918.740349999982,1,1
2041-12-29,10221.43,12193.810549999987,0,0
