Date,Store_ID,Product_Category,Sales,Promotion,Holiday,Customers,Temperature,Rainfall,Discount_Percentage,Stock_Available,Year,Month,Week,Quarter,Previous_Week_Sales,Moving_Average_4_Weeks
2024-05-12,S001,Electronics,12047.67,0,0,473,35.9,4.5,1.9,1375,2024,5,19,2,13152.005000000001,12047.67
2024-06-16,S001,Beauty,9639.51,0,0,421,26.7,24.2,1.0,1252,2024,6,24,2,12047.67,10843.59
2024-06-23,S001,Grocery,11089.8,0,0,436,27.6,2.2,4.1,1244,2024,6,25,2,9639.51,10925.659999999998
2024-08-25,S001,Clothing,18920.64,1,0,614,29.1,7.3,17.5,1513,2024,8,34,3,11089.8,12924.404999999999
2024-09-29,S001,Electronics,14822.96,1,0,632,25.6,21.0,10.7,1741,2024,9,39,3,18920.64,13618.2275
2024-10-20,S001,Electronics,18968.14,1,0,837,28.8,7.5,14.5,1779,2024,10,42,4,14822.96,15950.384999999998
2024-11-17,S001,Clothing,23654.24,1,1,986,34.9,4.4,17.2,1833,2024,11,46,4,18968.14,19091.495
2025-01-26,S001,Clothing,17389.83,1,0,641,29.3,11.7,8.4,1596,2025,1,4,1,23654.24,18708.7925
2025-05-11,S001,Beauty,17822.15,1,0,705,32.0,17.8,19.1,1610,2025,5,19,2,17389.83,19458.590000000004
2025-06-22,S001,Beauty,12217.67,0,0,450,29.8,29.3,0.5,1358,2025,6,25,2,17822.15,17770.972500000003
2025-07-27,S001,Clothing,10000.36,0,0,535,33.0,21.6,0.6,1424,2025,7,30,3,12217.67,14357.5025
2025-08-17,S001,Home,16361.22,1,0,628,28.2,10.0,5.2,1555,2025,8,33,3,10000.36,14100.35
2025-08-24,S001,Grocery,10039.9,0,0,522,35.0,0.8,2.3,1327,2025,8,34,3,16361.22,12154.7875
2025-08-31,S001,Electronics,16628.2,1,0,656,27.9,27.9,6.2,1727,2025,8,35,3,10039.9,13257.42
2025-09-07,S001,Clothing,16436.84,1,0,458,31.4,4.3,18.6,1605,2025,9,36,3,16628.2,14866.54
2025-10-05,S001,Clothing,19088.87,1,0,599,37.4,6.4,26.7,1583,2025,10,40,4,16436.84,15548.4525
2025-10-26,S001,Clothing,19759.75,1,0,679,30.4,8.5,25.5,1682,2025,10,43,4,19088.87,17978.415
2025-11-30,S001,Electronics,10935.28,0,0,561,29.7,13.1,3.3,1421,2025,11,48,4,19759.75,16555.185
2025-12-14,S001,Grocery,15482.18,1,0,534,31.0,9.7,26.6,1521,2025,12,50,4,10935.28,16316.52
2026-01-04,S001,Clothing,11570.11,0,0,457,36.3,5.4,4.6,1455,2026,1,1,1,15482.18,14436.83
2026-02-15,S001,Grocery,9414.32,0,0,357,33.5,23.5,1.3,1220,2026,2,7,1,11570.11,11850.4725
2026-03-15,S001,Clothing,12038.62,0,0,642,23.4,12.1,0.4,1400,2026,3,11,1,9414.32,12126.3075
2026-04-12,S001,Beauty,12687.75,0,0,466,32.6,15.9,4.1,1183,2026,4,15,2,12038.62,11427.7
2026-05-24,S001,Beauty,12752.11,0,0,516,29.3,21.8,1.7,1568,2026,5,21,2,12687.75,11723.2
2026-09-13,S001,Beauty,16299.94,1,0,583,34.9,7.0,18.6,1543,2026,9,37,3,12752.11,13444.605000000001
