Date,Store_ID,Product_Category,Sales,Promotion,Holiday,Customers,Temperature,Rainfall,Discount_Percentage,Stock_Available
2024-05-12,S001,Electronics,12047.67,0,0,473,35.9,4.5,1.9,1375
2024-06-16,S001,Beauty,9639.51,0,0,421,26.7,24.2,1.0,1252
2024-06-23,S001,Grocery,11089.8,0,0,436,27.6,2.2,4.1,1244
2024-08-25,S001,Clothing,18920.64,1,0,614,29.1,7.3,17.5,1513
2024-09-29,S001,Electronics,14822.96,1,0,632,25.6,21.0,10.7,1741
2024-10-20,S001,Electronics,18968.14,1,0,837,28.8,7.5,14.5,1779
2024-11-17,S001,Clothing,23654.24,1,1,986,34.9,4.4,17.2,1833
2025-01-26,S001,Clothing,17389.83,1,0,641,29.3,11.7,8.4,1596
2025-05-11,S001,Beauty,17822.15,1,0,705,32.0,17.8,19.1,1610
2025-06-22,S001,Beauty,12217.67,0,0,450,29.8,29.3,0.5,1358
2025-07-27,S001,Clothing,10000.36,0,0,535,33.0,21.6,0.6,1424
2025-08-17,S001,Home,16361.22,1,0,628,28.2,10.0,5.2,1555
2025-08-24,S001,Grocery,10039.9,0,0,522,35.0,0.8,2.3,1327
2025-08-31,S001,Electronics,16628.2,1,0,656,27.9,27.9,6.2,1727
2025-09-07,S001,Clothing,16436.84,1,0,458,31.4,4.3,18.6,1605
2025-10-05,S001,Clothing,19088.87,1,0,599,37.4,6.4,26.7,1583
2025-10-26,S001,Clothing,19759.75,1,0,679,30.4,8.5,25.5,1682
2025-11-30,S001,Electronics,10935.28,0,0,561,29.7,13.1,3.3,1421
2025-12-14,S001,Grocery,15482.18,1,0,534,31.0,9.7,26.6,1521
2026-01-04,S001,Clothing,11570.11,0,0,457,36.3,5.4,4.6,1455
2026-02-15,S001,Grocery,9414.32,0,0,357,33.5,23.5,1.3,1220
2026-03-15,S001,Clothing,12038.62,0,0,642,23.4,12.1,0.4,1400
2026-04-12,S001,Beauty,12687.75,0,0,466,32.6,15.9,4.1,1183
2026-05-24,S001,Beauty,12752.11,0,0,516,29.3,21.8,1.7,1568
2026-09-13,S001,Beauty,16299.94,1,0,583,34.9,7.0,18.6,1543
2026-11-22,S001,Grocery,17058.24,1,0,582,33.6,4.2,9.0,1762
2026-11-29,S001,Electronics,10639.12,0,0,424,30.4,20.5,3.2,1278
2026-12-06,S001,Clothing,9093.0,0,0,484,35.1,15.5,0.1,1252
2026-12-13,S001,Grocery,11510.11,0,0,491,26.6,6.6,4.1,1203
2026-12-27,S001,Clothing,15019.25,0,1,550,30.8,18.1,1.3,1086
2027-01-17,S001,Electronics,14832.16,0,1,740,32.9,6.2,0.2,1308
2027-02-07,S001,Grocery,11898.57,0,0,518,26.2,5.0,1.7,1334
2027-02-21,S001,Home,15231.08,1,0,687,30.4,10.5,5.8,1693
2027-03-28,S001,Electronics,9339.14,0,0,439,30.3,19.5,2.0,1426
2027-04-11,S001,Clothing,17696.58,1,0,689,26.2,10.7,6.0,1604
2027-04-18,S001,Electronics,12810.03,0,0,532,30.3,13.0,3.7,1194
2027-05-30,S001,Grocery,17474.19,1,0,543,26.6,4.4,22.6,1665
2027-06-13,S001,Grocery,16995.85,0,1,719,37.6,5.6,4.1,1448
2027-06-20,S001,Electronics,10848.41,0,0,510,32.2,8.4,0.6,1374
2027-07-04,S001,Beauty,12022.28,0,0,444,31.9,5.8,4.3,1290
2027-08-08,S001,Clothing,20912.5,0,1,830,35.3,3.5,2.2,1262
2027-08-15,S001,Electronics,15252.45,1,0,637,24.9,8.3,13.8,1837
2027-10-17,S001,Beauty,8520.67,0,0,354,28.1,11.2,2.3,1242
2027-11-21,S001,Clothing,11196.58,0,0,450,30.8,10.0,2.3,1299
2027-11-28,S001,Grocery,19274.28,1,0,673,31.8,3.1,28.5,1748
2028-03-12,S001,Beauty,16867.37,1,0,609,27.7,8.3,17.0,1631
2028-03-19,S001,Grocery,10635.77,0,0,459,30.9,18.5,3.8,1295
2028-04-02,S001,Home,11513.19,0,0,522,21.8,11.3,3.9,1364
2028-04-23,S001,Clothing,16151.41,0,1,723,31.7,1.8,0.8,1410
2028-04-30,S001,Home,18139.5,0,1,770,34.8,2.8,2.2,1331
2028-06-11,S001,Electronics,11198.15,0,0,447,26.6,17.4,1.1,1301
2028-07-02,S001,Electronics,9037.07,0,0,392,25.2,17.0,2.6,1147
2028-07-16,S001,Grocery,11753.36,0,0,418,31.3,3.8,3.3,1141
2028-08-20,S001,Beauty,9946.3,0,0,391,31.3,7.5,1.7,1394
2028-08-27,S001,Clothing,17285.49,0,1,667,37.0,5.4,3.0,1325
2028-10-01,S001,Electronics,8700.52,0,0,403,36.8,18.3,3.6,1204
2028-10-22,S001,Home,15318.23,1,0,631,27.1,9.6,9.1,1508
2028-11-19,S001,Clothing,8142.05,0,0,399,30.9,7.1,2.5,1174
2028-12-03,S001,Home,15537.8,1,0,670,34.8,1.9,19.3,1700
2029-01-21,S001,Grocery,11057.7,0,0,503,34.9,8.6,1.9,1299
2029-02-04,S001,Home,17424.0,0,1,686,30.6,6.0,4.9,1279
2029-02-18,S001,Beauty,12312.25,0,0,437,33.0,9.4,2.3,1338
2029-03-18,S001,Electronics,12678.62,0,0,547,35.1,5.0,2.9,1256
2029-03-25,S001,Grocery,11091.22,0,0,450,34.2,15.6,3.8,1397
2029-06-03,S001,Beauty,24970.68,1,1,1017,24.8,1.7,21.6,2111
2029-06-17,S001,Beauty,17674.69,0,1,756,31.8,8.6,1.0,1643
2029-08-05,S001,Home,17576.98,1,0,634,31.0,5.4,10.7,1690
2029-08-12,S001,Clothing,21134.71,1,1,1005,29.2,8.5,12.0,1853
2029-09-30,S001,Home,12532.64,0,0,464,28.6,9.4,3.4,1407
2029-10-21,S001,Clothing,19917.53,1,0,737,22.4,6.0,21.3,1669
2029-11-18,S001,Home,10431.18,0,0,484,29.6,5.3,3.5,1116
2029-12-16,S001,Grocery,16222.72,1,0,544,30.2,16.0,20.2,1677
2030-01-06,S001,Grocery,13188.79,0,0,528,25.9,7.6,1.6,1173
2030-03-17,S001,Beauty,10145.42,0,0,476,27.2,10.8,0.1,1149
2030-03-24,S001,Electronics,20147.79,1,0,728,29.6,4.0,25.4,1618
2030-03-31,S001,Clothing,12037.35,0,0,592,26.4,1.3,1.4,1354
2030-05-19,S001,Home,11688.91,0,0,497,25.1,13.5,3.3,1165
2030-06-16,S001,Electronics,10787.49,0,0,515,27.6,22.2,4.6,1403
2030-07-14,S001,Grocery,9484.48,0,0,419,25.4,10.3,0.5,1242
2030-09-01,S001,Beauty,15466.06,0,1,569,32.4,15.1,4.7,1343
2030-10-06,S001,Grocery,9436.82,0,0,400,24.1,12.1,0.9,1168
2030-11-17,S001,Beauty,7743.68,0,0,346,25.6,1.7,0.8,1209
2031-03-09,S001,Beauty,12342.82,0,0,437,28.5,5.1,2.3,1456
2031-05-04,S001,Electronics,7949.0,0,0,454,26.9,18.5,3.4,1234
2031-05-25,S001,Beauty,15778.45,0,1,650,31.8,5.3,0.1,1432
2031-06-15,S001,Clothing,6985.71,0,0,409,36.7,14.1,2.7,1103
2031-06-29,S001,Electronics,14896.02,0,1,680,32.9,7.0,0.7,1157
2031-07-20,S001,Clothing,15044.87,1,0,412,27.9,5.0,14.8,1555
2031-09-21,S001,Beauty,11272.94,0,0,437,26.6,3.2,1.9,1183
2031-10-19,S001,Beauty,12525.58,0,0,685,28.3,2.7,3.2,1513
2031-12-14,S001,Grocery,11822.22,0,0,557,30.7,5.2,0.9,1486
2032-03-07,S001,Home,11871.81,0,0,552,32.4,7.0,1.4,1356
2032-04-11,S001,Beauty,10307.98,0,0,402,30.6,11.9,0.9,1129
2032-06-06,S001,Beauty,14297.7,1,0,523,34.7,3.8,21.9,1729
2032-06-13,S001,Beauty,13371.8,0,0,524,32.7,14.4,4.4,1321
2032-08-01,S001,Beauty,13601.13,0,0,531,26.5,7.0,4.5,1405
2032-08-08,S001,Grocery,20419.69,1,1,786,33.5,20.9,7.9,1623
2032-10-31,S001,Electronics,10004.69,0,0,402,23.8,24.4,3.4,1284
2032-12-26,S001,Grocery,7738.42,0,0,421,35.1,21.9,1.2,1140
2033-02-27,S001,Beauty,23073.62,1,1,963,26.2,19.5,22.3,1918
2033-03-20,S001,Electronics,20080.29,1,0,686,34.4,12.6,27.2,1651
2033-04-17,S001,Grocery,17952.47,1,0,624,37.0,5.0,17.2,1480
2033-05-01,S001,Electronics,10968.91,0,0,429,25.3,8.9,0.2,1432
2033-05-29,S001,Clothing,8854.09,0,0,421,28.6,13.9,4.0,1394
2033-06-19,S001,Electronics,11103.56,0,0,394,26.1,6.5,3.0,1191
2033-07-03,S001,Home,17298.77,1,0,692,39.3,5.6,13.3,1632
2033-07-17,S001,Beauty,22960.6,1,1,931,26.4,8.0,11.6,1865
2033-07-24,S001,Home,16428.67,0,1,649,23.8,10.4,2.7,1454
2033-07-31,S001,Home,10513.04,0,0,550,31.0,16.2,2.2,1345
2033-08-14,S001,Electronics,20610.15,1,1,796,31.9,8.6,10.0,1648
2033-09-11,S001,Home,16816.78,1,0,668,33.3,6.6,8.7,1683
2033-10-09,S001,Electronics,15295.9,1,0,555,32.3,6.0,23.8,1674
2033-10-30,S001,Electronics,17307.08,1,0,779,24.5,4.7,16.9,1672
2034-01-01,S001,Beauty,12279.31,0,0,526,36.5,8.5,0.9,1167
2034-02-12,S001,Electronics,11363.16,0,0,430,28.6,6.5,1.1,1189
2034-05-14,S001,Electronics,9516.0,0,0,375,27.2,13.4,1.6,1241
2034-06-11,S001,Clothing,15509.86,1,0,582,31.6,13.1,6.8,1480
2034-07-09,S001,Beauty,14771.68,0,0,666,35.8,7.9,2.6,1501
2034-09-17,S001,Grocery,12844.0,0,0,565,30.9,4.1,1.3,1305
2034-10-01,S001,Home,12002.39,0,0,457,34.4,13.6,3.7,1390
2034-10-08,S001,Electronics,17794.2,1,0,599,27.7,7.5,24.1,1592
2035-03-04,S001,Home,18236.57,1,0,580,32.7,20.7,28.3,1516
2035-03-11,S001,Electronics,11521.88,0,0,444,30.5,4.0,1.4,1151
2035-04-08,S001,Grocery,16456.15,1,0,633,28.4,4.1,25.3,1428
2035-04-22,S001,Home,14435.81,0,0,614,26.7,3.2,4.9,1365
2035-04-29,S001,Home,17363.44,1,0,778,27.8,8.3,27.9,1766
2035-05-06,S001,Grocery,8898.08,0,0,338,29.4,13.5,0.4,1280
2035-08-26,S001,Home,16911.05,1,0,757,35.4,2.5,15.6,1568
2035-09-09,S001,Clothing,16585.1,1,0,629,29.6,17.6,23.7,1661
2035-09-16,S001,Clothing,18345.02,1,0,692,39.1,0.7,11.6,1717
2035-09-23,S001,Grocery,16916.24,1,0,588,33.6,5.7,27.0,1478
2035-10-14,S001,Grocery,22599.59,1,1,907,24.8,19.1,20.3,1746
2036-02-10,S001,Electronics,19060.79,1,0,644,38.2,6.6,25.1,1703
2036-03-02,S001,Electronics,12752.13,0,0,524,30.1,0.8,0.7,1148
2036-03-09,S001,Electronics,15095.81,1,0,676,25.3,20.8,5.8,1455
2036-03-16,S001,Electronics,16992.78,1,0,592,36.8,9.1,27.0,1590
